ds,alg,Gmean,std
KDDCup,improved_OOB,70.13436198045461,0.0
KDDCup,WEOB1,70.34998488321021,1.4210854715202004e-14
KDDCup,OOB,69.60489060875975,0.0
KDDCup,ESOS_ELM,70.71067811865476,0.0
KDDCup,improved_UOB,69.1833604584767,1.4210854715202004e-14
KDDCup,WEOB2,69.01556124987272,1.4210854715202004e-14
KDDCup,UOB,69.32321376120015,0.0
KDDCup,CSMOTE,70.04109120106502,0.0
KDDCup,RebalanceStream,70.26028630086215,0.0
PAKDD,improved_OOB,54.27216606868876,0.0
PAKDD,WEOB1,54.99446906377858,0.0
PAKDD,OOB,54.60671033853637,0.0
PAKDD,ESOS_ELM,55.986587674649954,0.18202204294298463
PAKDD,improved_UOB,54.779638083154325,0.0
PAKDD,WEOB2,54.9059001195774,0.0
PAKDD,UOB,54.11448745428176,0.0
PAKDD,CSMOTE,53.51804639832485,0.0
PAKDD,RebalanceStream,50.07230423641015,7.105427357601002e-15
Elec,improved_OOB,66.63018673988167,0.0
Elec,WEOB1,66.07826315706629,1.4210854715202004e-14
Elec,OOB,67.09087664716381,0.0
Elec,ESOS_ELM,61.499664728738864,0.5268314158546044
Elec,improved_UOB,64.84626213144934,1.4210854715202004e-14
Elec,WEOB2,63.927974412077866,0.0
Elec,UOB,65.53469724979941,1.4210854715202004e-14
Elec,CSMOTE,64.61646091071256,0.0
Elec,RebalanceStream,63.76044072211687,0.0
